code_intel_backend   | INFO:     172.66.0.243:41479 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/vulnerabilities HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:57116 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/security-stats HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:57116 - "POST /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/scan HTTP/1.1" 200 OK
code_intel_backend   | ✅ Security scan complete: 0 vulnerabilities found
code_intel_backend   | INFO:     172.66.0.243:57116 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/security-stats HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:57116 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/vulnerabilities HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:57116 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/call-graph HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:41479 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/dependencies HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:48142 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/circular-deps HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:28372 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/dead-code HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:47645 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/files?limit=100 HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:47645 - "GET /api/recommendations/quality-dashboard?repository_id=2d456ce9-d770-4a6b-af49-73558f3f899e HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/recommendations/complex-functions?repository_id=2d456ce9-d770-4a6b-af49-73558f3f899e&min_complexity=20&limit=10 HTTP/1.1" 200 OK
